LOCATION,INDICATOR,SUBJECT,MEASURE,FREQUENCY,TIME,Value
ESP,QGDP,TOT,PC_CHGPP,A,1989,4.827617604
ESP,QGDP,TOT,PC_CHGPP,A,1990,3.783711977
ESP,QGDP,TOT,PC_CHGPP,A,1991,2.543741323
ESP,QGDP,TOT,PC_CHGPP,A,1992,0.930900222
ESP,QGDP,TOT,PC_CHGPP,A,1993,-1.032668671
ESP,QGDP,TOT,PC_CHGPP,A,1994,2.382954999
ESP,QGDP,TOT,PC_CHGPP,A,1995,2.757265784
ESP,QGDP,TOT,PC_CHGPP,A,1996,2.660384815
ESP,QGDP,TOT,PC_CHGPP,A,1997,3.702721341
ESP,QGDP,TOT,PC_CHGPP,A,1998,4.393037351
ESP,QGDP,TOT,PC_CHGPP,A,1999,4.490616959
ESP,QGDP,TOT,PC_CHGPP,A,2000,5.245868129
ESP,QGDP,TOT,PC_CHGPP,A,2001,3.932948843
ESP,QGDP,TOT,PC_CHGPP,A,2002,2.730912305
ESP,QGDP,TOT,PC_CHGPP,A,2003,2.982005031
ESP,QGDP,TOT,PC_CHGPP,A,2004,3.122795242
ESP,QGDP,TOT,PC_CHGPP,A,2005,3.652032674
ESP,QGDP,TOT,PC_CHGPP,A,2006,4.102727115
ESP,QGDP,TOT,PC_CHGPP,A,2007,3.60478135
ESP,QGDP,TOT,PC_CHGPP,A,2008,0.886964124
ESP,QGDP,TOT,PC_CHGPP,A,2009,-3.763145952
ESP,QGDP,TOT,PC_CHGPP,A,2010,0.163010231
ESP,QGDP,TOT,PC_CHGPP,A,2011,-0.814373455
ESP,QGDP,TOT,PC_CHGPP,A,2012,-2.959347861
